,Track Name,Artist Name,Popularity,Release Year,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
2960,Headlights (feat. Ilsey),Robin Schulz,55,2015,False,0.597,0.685,11,-6.371,1,0.0367,0.0245,0.000335,0.182,0.369,122.002,209208,4
2961,Ms. Jackson,Outkast,84,2000,True,0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948,270507,4
2962,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,81,2016,False,0.792,0.717,0,-4.759,0,0.0393,0.0927,3.59e-05,0.226,0.466,121.985,195547,4
2963,Royals,Lorde,0,2013,False,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878,190185,4
2964,All Good Things (Come To An End),Nelly Furtado,66,2006,False,0.661,0.649,9,-7.668,0,0.0342,0.245,1.22e-05,0.11,0.388,100.893,311187,4
2965,Clint Eastwood,Gorillaz,77,2001,True,0.663,0.694,10,-8.627,0,0.171,0.0253,0.0,0.0698,0.525,167.953,340920,4
2966,Hero,Enrique Iglesias,42,2001,False,0.555,0.638,7,-5.555,1,0.0418,0.147,2.31e-05,0.107,0.149,151.933,264240,4
2967,Galvanize,The Chemical Brothers,65,2005,False,0.745,0.714,7,-3.681,1,0.0751,0.0141,0.0222,0.363,0.365,104.003,393813,4
2968,One Last Time,Ariana Grande,84,2014,False,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,197267,4
2969,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,69,2016,False,0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017,217707,4
2970,Mr. Saxobeat,Alexandra Stan,13,2011,False,0.72,0.925,4,-4.165,0,0.0511,0.0276,0.000238,0.14,0.781,127.004,195105,4
2972,Payphone,Maroon 5,69,2021,True,0.739,0.756,4,-4.828,1,0.0394,0.0136,0.0,0.37,0.523,110.028,231387,4
2973,Supergirl - Radio Edit,Anna Naklab,61,2015,False,0.613,0.742,10,-6.113,0,0.0338,0.0777,0.000674,0.0862,0.356,122.017,212827,4
2974,Be Together (feat. Wild Belle),Major Lazer,21,2018,False,0.497,0.627,6,-6.141,0,0.0319,0.00142,0.0,0.619,0.193,79.93,233011,4
2975,Say It Right,Nelly Furtado,82,2006,False,0.872,0.872,1,-6.328,1,0.139,0.0476,0.00112,0.0543,0.809,116.948,223080,4
2976,Magic (feat. Rivers Cuomo),B.o.B,65,2010,False,0.549,0.932,8,-4.11,0,0.343,0.0127,0.0,0.347,0.787,82.439,196133,4
2977,Paparazzi,Lady Gaga,78,2008,False,0.762,0.692,5,-3.973,0,0.0438,0.113,0.0,0.094,0.397,114.906,208307,4
2978,Superstar,Jamelia,1,2003,False,0.801,0.645,1,-6.93,1,0.0356,0.0457,0.0,0.0357,0.824,110.01,215480,4
2979,Aicha,Outlandish,57,2003,False,0.745,0.64,2,-5.494,1,0.0526,0.21,5.1e-05,0.112,0.612,86.981,275680,4
2980,I Know You Want Me (Calle Ocho),Pitbull,73,2009,False,0.817,0.733,2,-6.009,1,0.145,0.0152,4.31e-05,0.107,0.833,127.056,237120,4
2981,Your Love Is My Drug,Kesha,73,2010,False,0.826,0.612,1,-3.891,1,0.0982,0.00681,0.0,0.0889,0.756,120.057,187133,4
2982,The Real Slim Shady,Eminem,87,2000,True,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200,4
2983,The Show Goes On,Lupe Fiasco,70,2011,True,0.591,0.889,7,-3.839,1,0.115,0.0189,0.0,0.155,0.65,143.067,239613,4
2984,Like a Boy,Ciara,67,2006,False,0.701,0.724,0,-5.751,0,0.145,0.267,0.0,0.0867,0.425,132.035,237053,4
2985,All Of The Lights,Kanye West,80,2010,True,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,299613,4
2986,Right Now (Na Na Na),Akon,2,2008,False,0.832,0.87,8,-4.2,0,0.167,0.267,0.0,0.412,0.566,138.003,240747,4
2987,Boom Clap,Charli XCX,64,2014,False,0.659,0.911,4,-2.28,1,0.0786,0.154,0.000304,0.191,0.576,91.999,169866,4
2988,Run Away With Me,Carly Rae Jepsen,20,2015,False,0.564,0.719,1,-5.505,1,0.0475,0.0126,0.000177,0.0536,0.251,119.023,251320,4
2989,Paper Planes,M.I.A.,0,2007,False,0.447,0.848,2,-6.175,1,0.222,0.033,7.45e-05,0.722,0.485,172.247,203760,4
2990,Steal My Girl,One Direction,82,2014,False,0.536,0.768,10,-5.948,0,0.0347,0.00433,0.0,0.114,0.545,77.217,228133,4
2991,Written in the Stars (feat. Eric Turner),Tinie Tempah,53,2010,True,0.644,0.945,7,-3.534,1,0.0717,0.0587,0.0,0.184,0.573,91.017,219560,4
2992,Clarity,Zedd,76,2012,False,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,271427,4
2993,Just A Dream,Nelly,75,2010,False,0.531,0.752,1,-6.161,1,0.0305,0.0421,0.0,0.12,0.103,89.917,237800,4
2994,Effortless,Sabina Ddumba,47,2016,False,0.632,0.631,1,-5.181,1,0.0433,0.192,0.0,0.107,0.512,83.106,180347,4
2995,Nothing in This World,Paris Hilton,50,2006,False,0.724,0.772,11,-4.015,0,0.0328,0.00824,0.00454,0.0654,0.932,130.007,189933,4
2996,Stars Are Blind,Paris Hilton,62,2006,False,0.745,0.695,2,-5.076,1,0.0271,0.00593,0.0,0.0615,0.519,102.014,236600,4
2997,Lollipop,MIKA,61,2006,False,0.714,0.621,1,-5.343,1,0.0641,0.0352,1.63e-05,0.11,0.892,96.007,183533,4
2998,Stop And Stare,OneRepublic,0,2007,False,0.492,0.859,4,-4.274,1,0.0332,0.0659,0.0,0.0756,0.251,92.474,223853,4
