Track Name,artists,popularity,release_year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
We Don't Have To Take Our Clothes Off - Remastered 2015,Ella Eyre,5,2020,False,0.572,0.231,0,-6.316,0,0.0334,0.953,3.94e-06,0.111,0.332,96.732,230711,3,2
Someone Else,Alexander Oscar,2,2020,True,0.591,0.594,1,-5.691,1,0.0271,0.138,0.0,0.0706,0.488,81.483,227467,4,2
A Little Messed Up,june,4,2020,False,0.773,0.528,4,-7.876,0,0.0551,0.694,0.0001,0.478,0.363,96.059,168000,4,2
Ambulance,june,4,2020,True,0.811,0.417,7,-7.42,0,0.127,0.25,0.0,0.615,0.401,129.913,186532,4,2
Beautiful Scars,Maximillian,3,2020,False,0.706,0.457,4,-8.667,0,0.0597,0.369,0.0,0.106,0.427,144.962,194757,4,5
Still Alive,Maximillian,2,2020,False,0.512,0.367,0,-9.882,1,0.0512,0.268,0.0,0.432,0.493,74.847,192355,4,5
Ripples,Maximillian,3,2020,False,0.682,0.346,0,-9.475,1,0.0781,0.682,0.0,0.278,0.452,129.681,195404,4,5
Hold,Vera Blue,2,2020,False,0.315,0.49,6,-5.664,0,0.0346,0.121,3.12e-05,0.142,0.181,119.365,246147,4,4
Dancing On My Own - Acoustic,Calum Scott,3,2020,False,0.546,0.0782,1,-11.402,1,0.0412,0.954,1.52e-06,0.151,0.417,117.908,253482,4,3
Stay - Acoustic,Zedd,2,2020,False,0.625,0.576,5,-7.382,0,0.028,0.094,0.0,0.301,0.277,100.061,195051,4,0
All Night - Acoustic,The Vamps,2,2020,False,0.55,0.62,5,-5.348,1,0.037,0.0601,0.0,0.205,0.42,152.027,183963,4,0
More Than Life,Whitley,2,2020,False,0.412,0.444,10,-10.895,1,0.033,0.822,0.00268,0.152,0.39,84.781,177053,4,1
Starving - Acoustic,Hailee Steinfeld,2,2020,False,0.788,0.262,4,-8.354,1,0.042,0.586,0.0,0.117,0.719,99.859,181293,4,2
Places - Acoustic Version,Martin Solveig,2,2020,False,0.464,0.345,0,-5.564,0,0.0339,0.949,0.000346,0.112,0.499,82.079,149508,4,1
Don't You Worry Child - Acoustic Version,Swedish House Mafia,2,2020,False,0.55,0.8,11,-8.516,0,0.0321,0.423,0.000181,0.351,0.539,102.047,257000,4,1
End of Beginning,Djo,100,2022,False,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,159246,4,5
rises the moon,Liana Flores,83,2019,False,0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,161929,3,3
Show Me How,Men I Trust,82,2018,False,0.791,0.271,5,-11.959,1,0.0431,0.672,0.543,0.102,0.564,166.002,215111,4,5
Let's Fall in Love for the Night,FINNEAS,71,2019,True,0.737,0.408,5,-7.941,1,0.104,0.802,0.0,0.171,0.374,127.918,190348,4,2
Sweet Creature,Harry Styles,74,2017,False,0.427,0.262,7,-8.541,1,0.0276,0.746,0.0,0.068,0.228,104.085,224867,4,5
Heart To Heart,Mac DeMarco,85,2019,False,0.901,0.136,8,-16.127,0,0.102,0.667,0.354,0.109,0.643,150.076,211140,4,2
Fields Of Gold,Sting,77,1993,False,0.651,0.339,2,-11.917,1,0.0246,0.372,0.0141,0.0739,0.32,103.996,222120,4,2
Big Jet Plane,Angus & Julia Stone,62,2010,False,0.766,0.376,10,-8.622,0,0.0267,0.252,0.00861,0.0908,0.257,109.944,239120,4,2
ocean eyes,Billie Eilish,74,2016,False,0.475,0.37,4,-7.725,0,0.0361,0.819,0.0577,0.0841,0.157,144.828,200560,4,0
Someone New,Hozier,74,2014,False,0.593,0.539,7,-5.946,1,0.0349,0.407,2.31e-06,0.286,0.577,91.98,222814,4,5
Always Remember Us This Way,Lady Gaga,84,2018,False,0.553,0.502,0,-5.972,1,0.0409,0.299,0.0,0.764,0.296,129.976,210200,4,0
Up&Up,Coldplay,69,2015,False,0.479,0.717,7,-5.459,1,0.0605,0.0488,0.000333,0.102,0.253,163.989,405320,4,5
YEAH RIGHT,Joji,75,2018,True,0.671,0.589,1,-9.573,1,0.128,0.62,0.234,0.0992,0.201,169.031,174358,4,2
High By The Beach,Lana Del Rey,72,2015,True,0.536,0.486,11,-11.067,0,0.0346,0.244,0.00788,0.12,0.0968,131.988,257573,4,5
the perfect pair,beabadoobee,80,2022,False,0.634,0.663,11,-6.818,1,0.0331,0.433,0.124,0.102,0.6,146.053,177533,4,5
"Sitting, Waiting, Wishing",Jack Johnson,72,2005,False,0.766,0.547,0,-7.25,1,0.0264,0.229,1.5e-05,0.104,0.556,105.01,183720,4,5
Chinese New Year,SALES,68,2014,False,0.744,0.845,4,-7.422,0,0.253,0.759,0.232,0.1,0.749,75.221,160000,4,5
Georgia,Vance Joy,68,2014,False,0.388,0.66,11,-7.372,1,0.0308,0.312,0.000307,0.0943,0.401,143.554,230507,4,1
Collide,Howie Day,52,2003,False,0.636,0.625,11,-7.895,1,0.0277,0.222,5.35e-05,0.119,0.342,93.931,249120,4,3
Water Under the Bridge,Adele,72,2015,False,0.59,0.833,5,-6.503,0,0.0615,0.0142,5.4e-06,0.105,0.538,94.963,240439,4,5
Melting,Kali Uchis,81,2015,False,0.574,0.479,8,-7.776,1,0.0355,0.179,0.0803,0.106,0.303,115.263,208854,4,6
Run,Joji,70,2020,False,0.427,0.715,7,-3.948,1,0.0324,0.0469,0.000231,0.615,0.331,157.905,195000,3,6
Doin' Time,Lana Del Rey,82,2019,True,0.641,0.559,7,-11.132,0,0.0355,0.404,0.00402,0.0937,0.523,144.982,202193,4,5
"Eyes Blue Like The Atlantic, Pt. 2 (feat. Powfu, Alec Benjamin & Rxseboy)",Sista Prod,65,2020,False,0.702,0.616,6,-4.903,1,0.326,0.686,0.0,0.145,0.507,80.482,156188,4,2
Black Friday,Tom Odell,72,2024,False,0.48,0.199,6,-12.398,1,0.0329,0.931,0.0563,0.0978,0.201,165.476,221510,4,3
Stuck with U (with Justin Bieber),Ariana Grande,80,2020,False,0.597,0.45,8,-6.658,1,0.0418,0.223,0.0,0.382,0.537,178.765,228482,3,0
